dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_parallel_drifts_abrupt,2500,HD,0.6798125,0.6945527777255416,0.6798125,0.6736770730424998,4,32,0.6798914063515963,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,JS,0.6798125,0.6945527777255416,0.6798125,0.6736770730424998,4,32,0.6798914063515963,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,Base,0.7576375,0.7576412104263068,0.7576375,0.7576362099031813,0,80,0.7576362483059845,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,KS95,0.74765,0.7477362149327792,0.74765,0.7476259678593812,32,80,0.7476444684399525,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,KS90,0.74685,0.7469473354029873,0.74685,0.7468228342402292,36,80,0.7468441231753381,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,HD,0.7464,0.7464580821111519,0.7464,0.7463833296957433,17,80,0.7463954167769847,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1000,JS,0.7441,0.7442015945435438,0.7441,0.7440710609733394,16,80,0.7440939641410668,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,Base,0.7576625,0.7576688064867126,0.7576625,0.7576604819518303,0,53,0.7576609176891409,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,KS95,0.7509,0.7516561867545868,0.7509,0.7507068336242535,28,53,0.7508840763860479,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,KS90,0.7486125,0.7491649057042168,0.7486125,0.748467937987469,30,53,0.7485987965679771,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.74735,0.7475849571136688,0.74735,0.7472866331151823,13,53,0.7473409752146101,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.7479125,0.7482294437275772,0.7479125,0.7478280700836052,13,53,0.7479020594626183,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.75665,0.7566508855297631,0.75665,0.7566495683567624,0,40,0.7566493014171751,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.741,0.7410285670408381,0.741,0.7409910434384807,20,40,0.7409966943670321,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.741,0.7410285670408381,0.741,0.7409910434384807,20,40,0.7409966943670321,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.7427875,0.7429642190141341,0.7427875,0.7427376362374117,12,40,0.7427795733939965,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.7427875,0.7429642190141341,0.7427875,0.7427376362374117,12,40,0.7427795733939965,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.756475,0.7564761412416007,0.756475,0.7564744812901157,0,32,0.7564742294842921,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.736525,0.7365352161890234,0.736525,0.7365213412610073,18,32,0.7365229291378934,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.736775,0.7368206040342642,0.736775,0.736760655366708,20,32,0.7367708304698559,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.749575,0.7500047829739181,0.749575,0.749462815894594,9,32,0.7495629140742386,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.7491,0.7496505739690182,0.7491,0.7489564701406731,8,32,0.7490863326666688,1.0,switching_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,Base,0.7503375,0.7508813454873932,0.7503375,0.7502070998451716,0,80,0.7503507215222073,1.0,parallel_incremental,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS95,0.7567625,0.7572493564701486,0.7567625,0.7566428524073444,17,80,0.756749834262914,1.0,parallel_incremental,synthetic,NB,24,24042
